1	61
2	42
3	70
4	77
5	50
6	96
7	69
8	38
9	85
10	31
11	30
12	5
13	68
14	76
15	35
16	49
17	93
18	78
19	18
20	63
21	13
22	96
23	52
24	15
25	93
26	94
27	77
28	83
29	98
30	87
31	99
32	80
33	95
34	0
35	96
36	56
37	52
38	71
39	2
40	97
41	54
42	48
43	36
44	50
45	97
46	73
47	9
48	62
49	66
50	2
51	4
52	16
53	38
54	51
55	86
56	71
57	51
58	56
59	36
60	17
61	61
62	82
63	57
64	1
65	60
66	64
67	95
68	19
69	43
70	26
71	84
72	20
73	47
74	25
75	30
76	50
77	23
78	32
79	28
80	6
81	13
82	42
83	6
84	50
85	61
86	29
87	8
88	37
89	48
90	52
91	48
92	39
93	50
94	5
95	60
96	70
97	26
98	95
99	85
100	83
101	73
102	2
103	40
104	61
105	14
106	44
107	33
108	0
109	94
110	41
111	21
112	70
113	83
114	95
115	56
116	61
117	82
118	26
119	85
120	30
121	76
122	20
123	89
124	17
125	15
126	91
127	53
128	5
129	81
130	69
131	71
132	35
133	2
134	47
135	28
136	45
137	42
138	99
139	74
140	30
141	14
142	60
143	26
144	71
145	51
146	47
147	15
148	69
149	91
150	73
151	90
152	92
153	46
154	30
155	48
156	99
157	62
158	51
159	0
160	59
161	15
162	6
163	18
164	56
165	42
166	1
167	51
168	10
169	34
170	43
171	88
172	12
173	17
174	60
175	64
176	90
177	21
178	25
179	57
180	8
181	44
182	50
183	79
184	77
185	3
186	1
187	76
188	2
189	29
190	12
191	7
192	14
193	4
194	60
195	43
196	7
197	45
198	25
199	49
200	20
201	24
202	35
203	10
204	76
205	42
206	57
207	34
208	36
209	14
210	53
211	3
212	38
213	42
214	76
215	1
216	20
217	91
218	63
219	20
220	58
221	69
222	3
223	31
224	79
225	57
226	68
227	82
228	11
229	12
230	83
231	2
232	99
233	10
234	75
235	86
236	47
237	28
238	92
239	15
240	98
241	50
242	92
243	46
244	62
245	7
246	40
247	34
248	27
249	58
250	45
251	52
252	49
253	37
254	87
255	96
256	5
257	42
258	42
259	26
260	28
261	24
262	37
263	44
264	11
265	99
266	25
267	24
268	68
269	74
270	33
271	87
272	31
273	70
274	45
275	32
276	18
277	63
278	65
279	13
280	0
281	13
282	43
283	83
284	72
285	15
286	32
287	2
288	25
289	88
290	36
291	30
292	18
293	3
294	16
295	30
296	14
297	71
298	64
299	33
300	65
301	11
302	12
303	39
304	69
305	47
306	88
307	65
308	22
309	48
310	91
311	24
312	3
313	52
314	56
315	39
316	83
317	75
318	65
319	86
320	79
321	86
322	73
323	34
324	76
325	18
326	45
327	22
328	71
329	26
330	14
331	97
332	45
333	24
334	47
335	0
336	1
337	56
338	91
339	45
340	6
341	37
342	49
343	42
344	88
345	16
346	58
347	32
348	53
349	22
350	73
351	22
352	57
353	23
354	96
355	80
356	38
357	21
358	31
359	60
360	62
361	10
362	89
363	43
364	79
365	51
366	24
367	31
368	64
369	50
370	62
371	69
372	19
373	34
374	10
375	79
376	41
377	93
378	90
379	52
380	22
381	71
382	87
383	76
384	82
385	21
386	41
387	35
388	88
389	89
390	2
391	33
392	6
393	99
394	89
395	27
396	15
397	64
398	20
399	43
400	55
401	63
402	42
403	79
404	28
405	55
406	95
407	42
408	88
409	41
410	79
411	25
412	79
413	17
414	33
415	89
416	33
417	0
418	24
419	45
420	70
421	97
422	17
423	62
424	89
425	80
426	3
427	0
428	24
429	17
430	21
431	73
432	56
433	58
434	40
435	19
436	71
437	14
438	57
439	51
440	32
441	46
442	5
443	28
444	49
445	84
446	24
447	74
448	84
449	90
450	43
451	89
452	93
453	81
454	92
455	96
456	83
457	91
458	9
459	19
460	70
461	16
462	37
463	55
464	7
465	28
466	38
467	31
468	22
469	69
470	38
471	77
472	60
473	50
474	33
475	76
476	17
477	58
478	45
479	24
480	30
481	25
482	20
483	70
484	75
485	39
486	42
487	33
488	81
489	57
490	12
491	70
492	65
493	59
494	71
495	75
496	41
497	65
498	1
499	21
500	57
501	46
502	41
503	45
504	17
505	91
506	25
507	22
508	1
509	53
510	43
511	25
512	79
513	18
514	66
515	98
516	45
517	97
518	60
519	95
520	37
521	16
522	67
523	86
524	6
525	84
526	98
527	63
528	58
529	20
530	69
531	74
532	1
533	10
534	71
